Child Reg #,Registration #,Registered Name,Sex,Registered Name (Upper),Call Name,Color,Birthday,DNA Info,CHIC #,Hips,Registration Type,OFA Link
None,PR23772310,Phillip William Gilligan,Male,,Gilligan,Red,3/9/2021,None,None,Unknown,AKC,None
PR23772310,PR19520702,Sharmik's JJ'S Riley On The Edge,Female,SHARMIK'S JJ'S RILEY ON THE EDGE,Riley,Black,10/28/2016,None,137584,Good,AKC,https://www.ofa.org/advanced-search?f=sr&appnum=2024788#
PR19520702,PR16278901,Sharmik's Black Night,Male,SHARMIK'S BLACK NIGHT,Unknown,Black,6/10/2012,AKC DNA #V765284,111731,Excellent,AKC,https://www.ofa.org/advanced-search?appnum=1630698
PR19520702,PR16837004,Touch O Class & Sharmik's Annie Get Ur Gun,Female,TOUCH O CLASS & SHARMIK'S ANNIE GET UR GUN,Unknown,Red,3/8/2013,None,107430,Good,AKC,https://www.ofa.org/advanced-search?appnum=1649302
PR16837004,PR06651904,President Lincoln Of Arroyo,Male,PRESIDENT LINCOLN OF ARROYO,Unknown,Apricot,6/15/2005,AKC DNA #V583386,46304,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1228756
PR16837004,PR09820906,Ms Fergi A Dutchess At A Touch Of Class,Female,MS FERGI A DUTCHESS AT A TOUCH OF CLASS,Unknown,Red,3/16/2007,None,None,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1523756
PR06651904,PR03773207,Mr Christal's He Is A Realgem,Male,MR CHRISTAL'S HE IS A REALGEM,Unknown,Apricot,1/18/2004,AKC DNA #V402801,None,Unknown,AKC,None
PR06651904,PR03506801,Victoria Pierre Elegant Copy,Female,VICTORIA PIERRE ELEGANT COPY,Unknown,Brown,8/16/2003,None,None,Unknown,AKC,None
PR09820906,PR07732403,Lemars Touch Of Class Red Pepper,Male,LEMARS TOUCH OF CLASS RED PEPPER,Unknown,Red,11/13/2005,AKC DNA #V468184,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1610703
PR09820906,PR02254301,Walter's Blazing Red Tasha,Female,WALTER'S BLAZING RED TASHA,Unknown,Red,6/14/2003,None,None,Unknown,AKC,None
PR07732403,PP56536803,Lemar's Flaming Red Fire,Male,LEMAR'S FLAMING RED FIRE,Unknown,Red,4/24/1998,AKC DNA #V174942,None,Unknown,AKC,None
PR07732403,PP57734303,Sunkist Miss Ginger Of Lemar,Female,SUNKIST MISS GINGER OF LEMAR,Unknown,Red,10/1/1998,None,None,Unknown,AKC,None
PR23772310,PR19917302,Heavenly Touch Of Crimson Red,Male,HEAVENLY TOUCH OF CRIMSON RED,Teddy,Red,4/5/2017,None,None,Fair,AKC,https://www.ofa.org/advanced-search?f=sr&appnum=2177535#
PR19917302,PR17970506,Heavenly Roscoe,Male,HEAVENLY ROSCOE,Unknown,Red,9/22/2014,AKC DNA #V780168,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1765445
PR19917302,PR17396205,Heavenly Zandra,Female,HEAVENLY ZANDRA,Unknown,Red & Apricot,12/22/2013,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1765443
PR17970506,PR16479603,Payden Cash Redz Jamaica Me Happy,Male,PAYDEN CASH REDZ JAMAICA ME HAPPY,Unknown,Red,8/31/2012,AKC DNA #V726594,101894,Good,AKC,https://www.ofa.org/advanced-search?appnum=1553980
PR17970506,PR15687101,Silverace's Baby Maggie May,Female,SILVERACE'S BABY MAGGIE MAY,Unknown,Red,11/8/2011,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1633900
PR17396205,PR16086901,Cantope's Heavenly Zachary,Male,CANTOPE'S HEAVENLY ZACHARY,Unknown,Apricot,4/20/2010,AKC DNA #V664129,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=1576233
PR17396205,PR16087001,Cantope's Heavenly Zena,Female,CANTOPE'S HEAVENLY ZENA,Unknown,Red,5/28/2010,AKC DNA #V664128,None,Unknown,AKC,
PR16479603,PR14323903,Billingsley's Sam I Am,Male,BILLINGSLEY'S SAM I AM,Unknown,Red,5/21/2010,None,None,Unknown,AKC,
PR16479603,PR11944102,"Semonile Lady Of The Night ""Eboni""",Female,"SEMONILE LADY OF THE NIGHT ""EBONI""",Unknown,Black,7/21/2008,None,None,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1477576
PR11944102,PR07821005,Ami A Maya,Female,AMI A MAYA,Unknown,Black,2/21/2006,None,51730,Good,AKC,https://www.ofa.org/advanced-search?appnum=1309069
PR11944102,PR09389306,Forest Hills Lee's Red Ball,Male,FOREST HILLS LEE'S RED BALL,Unknown,Red,12/25/2006,AKC DNA #V524828,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1310837
PR16086901,SW134700,Cantope Zoric Maximus,Male,CANTOPE ZORIC MAXIMUS,Unknown,Apricot,11/9/2006,Unknown,None,Excellent,CKC,https://www.ofa.org/advanced-search?appnum=1347984
PR16086901,TQ175114,Cantope Lady In Red,Female,CANTOPE LADY IN RED,Unknown,Unknown,8/15/2007,Unknown,None,Unknown,CKC,https://www.ofa.org/advanced-search?appnum=989005
SW134700,1085035,Unknown,Male,Unknown,Unknown,Unknown,Unknown,Unknown,None,Unknown,Unknown,
SW134700,RJ031998,Cantope Ebony Zoe Paquette,Female,CANTOPE EBONY ZOE PAQUETTE,Unknown,Unknown,Unknown,Unknown,None,Unknown,CKC,
PR15687101,PR10664503,Butler's Baby Cooper,Male,BUTLER'S BABY COOPER,Unknown,Red,9/6/2007,None,None,Unknown,AKC,
PR15687101,PR13935707,Miss Lolli Lolli Pop Jo,Female,MISS LOLLI LOLLI POP JO,Unknown,Red,12/16/2009,None,86343,Fair,AKC,https://www.ofa.org/advanced-search?appnum=1515739
PR13935707,PR12467908,Sir Luke Of Leatherstocking,Male,SIR LUKE OF LEATHERSTOCKING,Unknown,Red,11/11/2008,AKC DNA #V652076,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1487321
PR13935707,PR12382805,Tootsie Boo Boo Of Leatherstocking,Female,TOOTSIE BOO BOO OF LEATHERSTOCKING,Unknown,Apricot,10/27/2008,None,None,Unknown,AKC,
PR12467908,PR03335206,Leatherstocking Coppercoopper,Male,LEATHERSTOCKING COPPERCOOPPER,Unknown,Red,11/8/2003,AKC DNA #V409962,None,Unknown,AKC,
PR12467908,PR02244909,Leatherstockin's Raspberry,Female,LEATHERSTOCKIN'S RASPBERRY,Unknown,Red,6/7/2003,None,None,Unknown,AKC,
PR07821005,PP64726509,Friendships Shiloh Garden,Male,FRIENDSHIPS SHILOH GARDEN,Unknown,Brown,4/21/2001,AKC DNA #V241802,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=921777
PR07821005,PR01965808,Ruby Red O'Shannon,Female,RUBY RED O'SHANNON,Unknown,Red,4/17/2003,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1134755
PP64726509,PP45058008,Landmark Carob's Delight,Male,LANDMARK CAROB'S DELIGHT,Unknown,Brown,4/18/1995,AKC DNA #V182978,14569,Good,AKC,https://www.ofa.org/advanced-search?appnum=756608
PP64726509,PP54169214,MKM Friendships Joyous Noel,Female,MKM FRIENDSHIPS JOYOUS NOEL,Unknown,Apricot,1/10/1998,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=811523
PP45058008,PC105765,Celest Bronze Knight,Male,CELEST BRONZE KNIGHT,Unknown,Chocolate,3/16/1987,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=364609
PP45058008,PP25464401,Landmark Mayfair Nestle,Female,LANDMARK MAYFAIR NESTLE,Unknown,Chocolate,3/26/1990,None,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=413923
PC105765,PB506065,CH Valtec Carbonado,Male,CH VALTEC CARBONADO,Unknown,Black,2/18/1981,None,None,Normal,AKC,https://www.ofa.org/advanced-search?appnum=153459
PC105765,PB706954,Celest Marron Glace,Female,CELEST MARRON GLACE,Unknown,Brown,2/10/1983,None,None,Unknown,AKC,
PB506065,PB295651,CH Lemerle Le Charbonnier,Male,LEMERLE LE CHARBONNIER,Unknown,Black,5/2/1977,None,None,Normal,AKC,https://www.ofa.org/advanced-search?appnum=111166
PB506065,PB098258,Funtyme Tourmaline Of Valtec,Female,FUNTYME TOURMALINE OF VALTEC,Unknown,Black,1/15/1977 or 12/14/1976,None,None,Normal,AKC,https://www.ofa.org/advanced-search?appnum=108926
PP54169214,PP43434103,Friendships Raiding Saxon,Male,FRIENDSHIPS RAIDING SAXON,Unknown,Black,1/10/1995,AKC DNA #V182976,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=663759
PP54169214,PP48368713,Friendships MKM Ladywind Too,Female,FRIENDSHIPS MKM LADYWIND TOO,Unknown,Cream,5/14/1996,AKC DNA #V260558,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=687367
PP43434103,PP24559601,Vir Ami Buster,Male,VIR AMI BUSTER,Unknown,Black,4/11/1990,None,None,Unknown,AKC,
PP43434103,PP26696902,Prima Hollie Tenere,Female,PRIMA HOLLIE TENERE,Unknown,Apricot,11/6/1990,None,None,Unknown,AKC,
PP48368713,PP45272905,Friendships Viking Ravenwind,Male,FRIENDSHIPS VIKING RAVENWIND,Unknown,Black,7/3/1995,AKC DNA #V182977,14843,Affected,AKC,https://www.ofa.org/advanced-search?appnum=679083
PP48368713,PP36594816,Friendships Cassandra Too,Female,FRIENDSHIPS CASSANDRA TOO,Unknown,Apricot,3/7/1993,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=679084
PP36594816,PP25091303,Wewin's Mon'amie,Male,WEWIN'S MON'AMIE,Unknown,Black,7/12/1990,None,None,Unknown,AKC,
PP36594816,PC242263,Hendrickson's Cassandra,Female,HENDRICKSON'S CASSANDRA,Unknown,Brown,11/16/1989,None,None,Unknown,AKC,
PP45272905,PC222475,Brandy's Alexander VII,Male,BRANDY'S ALEXANDER VII,Unknown,Black,7/25/1989,AKC DNA #V59415,None,Good,AKC,https://www.ofa.org/advanced-search?appnum=410192
PP45272905,PP36301201,Lady Bess Of Bath,Female,LADY BESS OF BATH,Unknown,Black,7/15/1988,None,None,Unknown,AKC,
PR01965808,PP54354607,Gus Gus O'Shannon,Male,GUS GUS O'SHANNON,Unknown,Red,1/23/1998,AKC DNA #V265726,None,Unknown,AKC,
PR01965808,PR00288710,Roux Bijou,Female,ROUX BIJOU,Unknown,Red,4/7/2002,None,36028,Pennhip LDI=.28 RDI=.28,AKC,https://www.ofa.org/advanced-search?appnum=1085043
PR00288710,PP48210702,Mon Ami Le Bon Retrouver,Male,MON AMI LE BON RETROUVER,Unknown,Black,5/2/1996,AKC DNA #V165848,15914,Good,AKC,https://www.ofa.org/advanced-search?appnum=726012
PR00288710,PP58102005,Bijou Noire XIII,Female,BIJOU NOIRE XIII,Unknown,Black,3/9/1999,None,None,Unknown,AKC,https://www.ofa.org/advanced-search?appnum=1080310
PP48210702,PP24896303,Triumph's Gallant Chevalier,Male,TRIUMPH'S GALLANT CHEVALIER,Unknown,Apricot,7/15/1990,None,None,Unknown,AKC,
PP48210702,PP29133308,Nadeaus Daisy In Bloom,Female,NADEAUS DAISY IN BLOOM,Unknown,Black,5/6/1991,None,None,Unknown,AKC,
PP58102005,PP38730404,Torbec's Big Red Baby,Male,TORBEC'S BIG RED BABY,Unknown,Apricot,8/27/1993,None,None,Unknown,AKC,
PP58102005,PP46644001,Hannah's Ebony Destiny,Female,HANNAH'S EBONY DESTINY,Unknown,Black,9/1/1995,None,None,Unknown,AKC,
PR09389306,PR03335206,Leatherstocking Coppercoopper,Male,LEATHERSTOCKING COPPERCOOPPER,Unknown,Red,11/8/2003,AKC DNA #V409962,None,Unknown,AKC,
PR09389306,PR02244901,Leatherstocking's Strawberry,Female,LEATHERSTOCKING'S STRAWBERRY,Unknown,Apricot,6/7/2003,None,None,Unknown,AKC,
PR02254301,PP56536803,Lemar's Flaming Red Fire,Male,LEMAR'S FLAMING RED FIRE,Unknown,Red,4/24/1998,AKC DNA #V174942,None,Unknown,AKC,None
PR02254301,PP52198202,Walter's Golden Tangelo,Female,WALTER'S GOLDEN TANGELO,Unknown,Unknown,Unknown,None,None,Unknown,AKC,
PP52198202,PP49495801,Pierlyham Smalto Future Fire,Male,,,,,,,,,
PP52198202,PP45677503,Majestic Golden Tasha,Female,,,,,,,,,
PP49495801,PP33473302,Majestic Fire King,Male,,,,,,,,,
PP49495801,PP27639001,Torbec Hello Sunshine,Female,,,,,,,,,
PP33473302,PC091729,Majestic Red Hot Shangri La,Male,,,,,,,,,
PP33473302,PP24466004,Majestic Red Ruby,Female,,,,,,,,,
PC091729,PC016164,Suntanned von Shangri La,Male,,,,,,,,,
PC091729,PB629973,Ravena von Shangri La,Female,,,,,,,,,
PC016164,PB587807,Desert Lion von Shangri La,Male,,,,,,,,,
PC016164,PB700953,Sunrise Simone von Shangri La,Female,,,,,,,,,
PB629973,PB370553,Crown Prince von Shangri La,Male,,,,,,,,,
PB629973,PB587646,Windspiel von Shangri La,Female,,,,,,,,,
PP24466004,PC032452,Majestic Red Rebel Shangri La,Male,,,,,,,,,
PP24466004,PC116298,Majestic Miss Scarlet,Female,,,,,,,,,
PC032452,PB815400,Coquetel Apollo,Male,,,,,,,,,
PC032452,PB910122,Love That Red von Shangri La,Female,,,,,,,,,
PC116298,PC032452,Majestic Red Rebel Shangri La,Male,,,,,,,,,
PC116298,PB588535,Tropicana Von Shangri La,Female,,,,,,,,,
PP27639001,PP334620,Aurelia Torbec Triple Orange,Male,,,,,,,,,
PP27639001,TW632769,Torbec Let The Sunshine Win,Female,,,,,,,,,
PP45677503,PP38447001,Jasler's Majestic Macho Man,Male,,,,,,,,,
PP45677503,PP29189502,Sheila's Sweet Cinnamon,Female,,,,,,,,,
PP38447001,PB826550,Coquetel Cavalier,Male,,,,,,,,,
PP38447001,PP30887506,Majestic Topaz Velvet,Female,,,,,,,,,
PP29189502,PP25912301,Torbec Gold Medalist,Male,,,,,,,,,
PP29189502,PP09485201,Majestic Cinnamon Lady,Female,,,,,,,,,
PP56536803,PP49495801,Pierlyham Smalto Future Fire,Male,,,,,,,,,
PP56536803,PP29715101,Majestic Averina's Red Crystal,Female,,,,,,,,,
PP29715101,PC032452,Majestic Red Rebel Shangri La,Male,,,,,,,,,
PP29715101,PC190401,Averina's Majestic Minit Maid,Female,,,,,,,,,
PC032452,PC032452,Coquetel Apollo,Male,,,,,,,,,
PC032452,PB910122,Love That Red von Shangri La,Female,,,,,,,,,
PC190401,PB992727,Majestic Mr Red von Shangri La,Male,,,,,,,,,
PC190401,PC166701,Westbays Merry Duchess,Female,,,,,,,,,